제품명,브랜드,link,분류,link2,원가,할인가,별점,리뷰수,용량,구성요소,이미지url
[비건인증] 아리얼 스트레스 릴리빙 미셀라 립앤아이 리무버 300ml,아리얼,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141457&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=1&dispCatNo=1000001001000060001&trackingCd=Result_1#,립&아이리무버,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141457&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=1&dispCatNo=1000001001000060001&trackingCd=Result_1#,"18,000","8,100",4.7,"(7,079건)",300ml,"정제수, 세틸에틸헥사노에이트, 아이소도데케인, 1,2-헥산다이올, 판테놀, 황련뿌리추출물, 부틸렌글라이콜, 스테아트라이모늄메토설페이트, 아이소프로필알코올, 소듐시트레이트, 시트릭애씨드, 병풀추출물, 호장뿌리추출물, 황금추출물, 녹차추출물, 스페인감초뿌리추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 알로에베라잎추출물, 모란뿌리추출물, 다이소듐이디티에이",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0014/A00000014145707ko.jpg?l=ko
[비건인증] 포인트앤 딥 클린 올인원 클렌징 티슈 80매,포인트앤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179807&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=2&dispCatNo=1000001001000050002&trackingCd=Result_2#,클렌징티슈/패드,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179807&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=2&dispCatNo=1000001001000050002&trackingCd=Result_2#,"11,900","5,310",4.6,"(6,833건)",80매,"정제수, 부틸렌글라이콜, 폴리글리세릴-10라우레이트, C12-15알킬벤조에이트, 카프릴릭/카프릭트라이글리세라이드, 소듐벤조에이트, 글리세레스-26, 클로페네신, 드럼스틱씨오일, 트레할로오스, 시트릭애씨드, 다이소듐이디티에이, 전판홍경천뿌리추출물, 서양송악잎/줄기추출물, 복륜산산세비에리아잎추출물, 레몬껍질오일, 베르가모트오일, 1,2-헥산다이올, 해바라기씨오일, 자몽껍질오일, 센티드제라늄꽃오일, 일랑일랑꽃오일",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017980706ko.jpg?l=ko
[비건인증/무색소] 포인트앤 딥 클린 립앤아이 리무버 200ml 더블기획,포인트앤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000191989&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=3&dispCatNo=1000001001000060001&trackingCd=Result_3#,립&아이리무버,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000191989&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=3&dispCatNo=1000001001000060001&trackingCd=Result_3#,"17,900","12,900",4.8,(839건),200ml * 2ea,"정제수, 사이클로헥사실록세인, 아이소프로필미리스테이트, C15-23알케인, 헥실렌글라이콜, C13-14알케인, 포타슘포스페이트, 소듐클로라이드, 소듐벤조에이트, 알지닌, 알란토인, 다이소듐이디티에이, 데실글루코사이드, 드럼스틱씨오일, 프로판다이올, 토코페롤, 스피드웰추출물, 부틸렌글라이콜, 1,2-헥산다이올, 약모밀추출물, 에틸헥실글리세린",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019198902ko.jpg?l=ko
[비건인증/펌핑타입] 더샘 내추럴 컨디션 탄산 클렌징워터 500ml,더샘,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187447&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=4&dispCatNo=1000001001000050003&trackingCd=Result_4#,클렌징워터,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187447&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=4&dispCatNo=1000001001000050003&trackingCd=Result_4#,"15,000","8,550",4.9,(85건),500ml,"정제수, 다이프로필렌글라이콜, 판테놀, 피이지-7카프릴릭/카프릭글리세라이즈, 피이지-7글리세릴코코에이트, 미네랄워터, 탄산수(4,675 ppm), 소듐시트레이트, 부틸렌글라이콜, 시트릭애씨드, 글리세린, 토코페릴아세테이트, 다이소듐이디티에이, 밤부사 불가리스수, 버지니아풍년화수, 1,2-헥산다이올, 녹차수, 에틸헥실글리세린, 알로에베라잎즙, 분홍바늘꽃꽃/잎/줄기추출물, 포트마리골드꽃추출물, 카멜그라스추출물, 유향나무수지추출물, 쑥잎추출물, 센티드제라늄추출물, 살비아추출물, 베르가못잎추출물, 로즈마리추출물, 레몬밤잎추출물, 난추출물, 카프릴릴글라이콜, 소듐메타바이설파이트, 페퍼민트잎추출물, 사과추출물, 비누풀잎추출물, 레몬추출물, 라임추출물, 페녹시에탄올, 향료",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018744709ko.jpg?l=ko
[비건인증] 포인트앤 딥멜팅 소이 클렌징 밤 90ml,포인트앤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190919&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=5&dispCatNo=1000001001000040002&trackingCd=Result_5#,클렌징밤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190919&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=5&dispCatNo=1000001001000040002&trackingCd=Result_5#,,,4.9,(159건),90ml,"아이소프로필미리스테이트, 돌콩추출물(20%), 에틸헥실팔미테이트, 카프릴릭/카프릭트라이글리세라이드, 솔베스-30테트라아이소스테아레이트, 폴리에틸렌, 드럼스틱씨오일, 해바라기씨오일, 돌콩단백질, 하이드롤라이즈드콩단백질, 정제수, 부틸렌글라이콜, 카프릴로일살리실릭애씨드, 라반딘오일, 레몬껍질오일, 클레리오일, 오렌지껍질오일, 광곽향오일, 고수열매오일, 소두구씨오일, 한련초추출물, 한련초잎추출물, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 가지열매추출물, 호박가루, 홀리바질잎추출물, 울금뿌리추출물, 참산호말추출물, 솔비탄세스퀴올리에이트, 에틸헥실글리세린",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019091910ko.jpg?l=ko
[비건인증] 포인트앤 피지 쏙 베지 클렌징 오일 230ml,포인트앤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154616&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=6&dispCatNo=1000001001000040001&trackingCd=Result_6#,클렌징오일,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154616&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=6&dispCatNo=1000001001000040001&trackingCd=Result_6#,"18,900","11,880",4.6,(362건),230ml,"세틸에틸헥사노에이트, 에틸헥실팔미테이트, 솔베스-30테트라올리에이트, 해바라기씨오일, 폴리글리세릴-2트라이아이소스테아레이트, 솔비탄세스퀴올리에이트, 녹나무껍질오일, 아보카도오일, 올리브오일, 센티드제라늄꽃오일, 광곽향오일, 리씨열매오일, 인도멀구슬나무잎추출물, 레몬껍질오일, 로즈마리잎오일, 살비아오일, 인도멀구슬나무꽃추출물, 티트리잎오일, 아이비고드열매추출물, 가지열매추출물, 호박가루, 울금뿌리추출물, 홀리바질잎추출물, 참산호말추출물, 드럼스틱씨오일, 녹차추출물, 퀼라자껍질추출물, 비누풀추출물, 락토바실러스발효물, 제라니올, 리날룰, 시트로넬올, 리모넨 ",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0015/A00000015461610ko.jpg?l=ko
[비건인증/무색소] 포인트앤 딥 클린 립앤아이 리무버 150ml,포인트앤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182865&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=7&dispCatNo=1000001001000060001&trackingCd=Result_7#,립&아이리무버,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182865&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=7&dispCatNo=1000001001000060001&trackingCd=Result_7#,"11,900","5,900",4.8,(92건),150ml,"정제수, 사이클로헥사실록세인, 아이소프로필미리스테이트, C15-23알케인, 헥실렌글라이콜, C13-14알케인, 포타슘포스페이트, 소듐클로라이드, 소듐벤조에이트, 알지닌, 알란토인, 다이소듐이디티에이, 데실글루코사이드, 드럼스틱씨오일, 프로판다이올, 토코페롤, 스피드웰추출물, 부틸렌글라이콜, 1,2-헥산다이올, 약모밀추출물, 에틸헥실글리세린",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018286504ko.jpg?l=ko
[비건인증] 포인트앤 딥 클린 립 앤 아이 리무버 롱 패드 88매(+7매증정),포인트앤,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192380&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=8&dispCatNo=1000001001000060001&trackingCd=Result_8#,립&아이리무버,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192380&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=8&dispCatNo=1000001001000060001&trackingCd=Result_8#,,,5.0,(278건),88매 +7매,"정제수, 세틸에틸헥사노에이트, 사이클로펜타실록세인, 사이클로헥사실록세인, 메틸프로판다이올, 폴록사머184, 다이소듐이디티에이, 소듐벤조에이트, 드럼스틱씨오일, 라우릴피리디늄클로라이드, 하이드록시아세토페논, 부틸렌글라이콜, 레몬껍질오일, 베르가모트오일, 해바라기씨오일, 소듐바이카보네이트, 자몽껍질오일, 센티드제라늄꽃오일, 일랑일랑꽃오일",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0019/A00000019238002ko.jpg?l=ko
[비건인증] 더샘 내추럴 컨디션 탄산 립앤아이 리무버 155ml,더샘,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187449&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=9&dispCatNo=1000001001000060001&trackingCd=Result_9#,립&아이리무버,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000187449&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=9&dispCatNo=1000001001000060001&trackingCd=Result_9#,"8,000","5,700",4.9,(22건),155ml,"정제수, 사이클로펜타실록세인, 아이소프로필미리스테이트, 다이프로필렌글라이콜, 미네랄워터, 탄산수 (4,675 ppm), 소듐시트레이트, 소듐클로라이드, 부틸렌글라이콜, 벤잘코늄클로라이드, 토코페릴아세테이트, 글리세린, 다이소듐이디티에이, 시트릭애씨드, 판테놀, 1,2-헥산다이올, 밤부사 불가리스수, 버지니아풍년화수, 녹차수, 에틸헥실글리세린, 분홍바늘꽃꽃/잎/줄기추출물, 알로에베라잎즙, 난추출물, 레몬밤잎추출물, 로즈마리추출물, 베르가못잎추출물, 살비아추출물, 센티드제라늄추출물, 쑥잎추출물, 유향나무수지추출물, 카멜그라스추출물, 포트마리골드꽃추출물, 카프릴릴글라이콜, 소듐메타바이설파이트, 페퍼민트잎추출물, 라임추출물, 레몬추출물, 비누풀잎추출물, 사과추출물, 페녹시에탄올, 향료, 리모넨",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0018/A00000018744905ko.jpg?l=ko
[비건인증] 키스미 아이 젠틀 오프 립앤아이 리무버,키스미,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174076&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=10&dispCatNo=1000001001000060001&trackingCd=Result_10#,립&아이리무버,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000174076&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%B9%84%EA%B1%B4&t_number=10&dispCatNo=1000001001000060001&trackingCd=Result_10#,"14,000","9,900",4.7,(92건),120mL,"정제수, 사이클로펜타실록세인, 다이프로필렌글라이콜, 아이소도데케인, 소듐클로라이드, 펜틸렌글라이콜, 하이드로제네이티드폴리(C6-14올레핀), 하이드로제네이티드폴리아이소부텐, 1,2-헥산다이올, 카프릴릴글라이콜, 카프릴릴/카프릴글루코사이드, 클로렐라 불가리스추출물, 글루코오스, 부틸렌글라이콜, 프룩토올리고사카라이드, 프룩토오스, 에틸헥실글리세린, 글리세린, 다이포타슘글리시리제이트, 다이소듐이디티에이, 돌콩추출물, 옥탄다이올, 토코페롤, 소듐하이알루로네이트, 쌀겨오일, 살구씨오일,카프릴릭/카프릭트라이글리세라이드, 마트리카리아꽃추출물",https://image.oliveyoung.co.kr/uploads/images/goods/550/10/0000/0017/A00000017407605ko.jpg?l=ko
