,제품명 (인당 32개),,키워드,,,,,
1,[비건인증] 아리얼 스트레스 릴리빙 미셀라 립앤아이 리무버 300ml,,순함,자극,세정력,가성비,무난,
2,[비건인증] 포인트앤 딥 클린 올인원 클렌징 티슈 80매,,세정력,자극,순함,무난,가성비,
3,[비건인증/무색소] 포인트앤 딥 클린 립앤아이 리무버 200ml 더블기획,,자극,세정력,순함,대용량,,
4,[비건인증/펌핑타입] 더샘 내추럴 컨디션 탄산 클렌징워터 500ml,,자극,세정력,순함,대용량,가성비,여름
5,[화해1위] 포인트앤 딥멜팅 소이 클렌징 밤 90ml,,블랙헤드,자극,순함,피지,수분감,
6,[비건인증] 포인트앤 피지 쏙 베지 클렌징 오일 230ml,,순함,가벼움,세정력,블랙헤드,복합성,
7,[비건인증/무색소] 포인트앤 딥 클린 립앤아이 리무버 150ml,,자극,세정력,순함,간편,,
8,[화해1위] 포인트앤 딥 클린 립 앤 아이 리무버 롱 패드 88매(+7매증정),,자극,세정력,간편,부드러움,수분감,
9,[비건인증] 키스미 아이 젠틀 오프 립앤아이 리무버,,세정력,자극,순함,무난,부드러움,
10,[화해1위] 포인트앤 딥 클린 립앤아이 리무버 롱패드 88매,,자극,각질,세정력,수분감,,
11,[무색소/비건인증] 포인트앤 딥 클린 립앤아이 리무버 300ml,,자극,세정력,순함,여름,무난,
12,클라뷰 리얼 비건 퀵 클렌징 패드 50매,,자극,순함,세정력,트러블,,
13,숌 화이트 비건 클렌징 밤 60ml 더블 기획,,순함,세정력,자극,지성,모공,
14,숌 소프트 비건 클렌징밤 60ml 더블 기획,,순함,세정력,블랙헤드,피지,수분감,
15,[화해1위] 이즈앤트리 참마 비건 밀크 클렌저 220ml 리필 기획 (+리필100ml),,순함,자극,세정력,간편,수분감,
16,[NEW] 코스노리 마이크로 액티브 비건 클렌징 오일 200ml,,블랙헤드,순함,세정력,지성,무난,복합성
17,[NEW] 코스노리 마이크로 액티브 비건 립앤아이 리무버 100ml,,자극,순함,세정력,무난,,
18,[단독기획]메이크프렘 세이프 미 릴리프 모이스처 비건 클렌징오일 리필기획 (210ml+100ml 증정),,블랙헤드,순함,세정력,자극,,
19,[화해1위] 이즈앤트리 참마 비건 밀크 클렌저 220ml,,순함,자극,수분감,간편,,
20,[2023어워즈]메이크프렘 세이프 미 클렌징밀크 200ml 어워즈 한정 기획 (괄사 증정),,순함,자극,부드러움,무난,민감성,수분감
21,비건이펙트 클린 앤 글로우 청보리 LHA 젤 클렌저 205ml 기획 (+토너패드 4EA 증정),,세정력,자극,트러블,각질,,
22,아워 비건 어성초 시카 클렌징 폼 120ml,,자극,수분감,무난,순함,,
23,[단독기획]메이크프렘 클린비건 클렌징밀크 리필기획(200ml+100ml),,순함,자극,세정력,가벼움,수분감,
24,[비건토너] 스킨푸드 미나리 토너 300ml,,진정,순함,트러블,지성,,
25,비건이펙트 클린 앤 글로우 LHA 발효 녹두 앰플 50ml,,각질,피지,블랙헤드,자극,민감성,
26,비건이펙트 클린 앤 글로우 수분초 크림 50g,,수분감,여름,순함,트러블,진정,
27,[비건파우더] 스킨푸드 미나리 스매싱 파우더 15ml,,트러블,진정,겨울,,,
28,아워 비건 어성초 시카 크림 100ml,,가벼움,순함,수분감,환절기,건성,
29,[비건/잡티케어] 스킨푸드 유자씨 잡티 맑음 세럼 50ml,,미백,자극,보습,수분감,여름,
30,아워 비건 어성초 98 시카 세럼 100ml,,가성비,여름,진정,대용량,무난,
31,아워 비건 어성초 시카 토너 400ml,,순함,가성비,여름,대용량,자극,진정
32,보나쥬르 비건 그린티 워터크림 100ml,,가벼움,순함,수분감,가성비,여름,
33,코스노리 비건 아보카도 아이크림 (본품30ml+15ml 증정),,자극,순함,수분감,겨울,무난,
34,쏘내추럴 비건 메이크업 캄 픽서 100ml,,순함,수분감,진정,,,
35,클라뷰 리얼 비건 저분자 콜라겐 탄력 앰플 30ml,,수분감,환절기,미백,보습,,
36,[대용량] 나인위시스 비건 하이드라 앰플 토너 500ml,,수분감,보습,순함,,,
37,클라뷰 리얼 비건 저분자 콜라겐 탄력 크림 50ml,,순함,수분감,환절기,민감성,,
38,허블룸 콤부차 비건 콜라겐 크림 50ml,,부드러움,,건성,민감성,수분감,
39,[화해 1위] 나인위시스 비건 화이트 톤업 크림 50ml 더블기획,,가벼움,미백,무난,,,
40,[화해 1위] 나인위시스 비건 화이트 톤업 크림 50ml,,가벼움,미백,무난,,,
41,[1+1/단독기획] 나인위시스 비건 하이드라 앰플 수딩 크림 50ml 더블기획,,수분감,여름,무난,민감성,,
42,"비얼라우 무화과,부활초 비건 올인원 200g+30g 기획",,순함,남성,올인원,,,
43,[선물추천] 달바 시그니처 오리지널 & 프리미엄 비건 미스트 세럼 기프트 세트,,수분감,가성비,보습,자극,,
44,비욘드 엔젤아쿠아 보습장벽크림 150ml 1+1기획 (비건),,순함,수분감,겨울,보습,,
45,비욘드 엔젤아쿠아 수분 진정 토너 500ml (비건),,순함,수분감,자극,지성,,
46,비욘드 엔젤아쿠아 워터 에센스 인 로션 200ml (비건 에센스인로션),,순함,여름,수분감,트러블,무난,
47,비욘드 엔젤아쿠아 수분 진정 크림 150ml 1+1 기획 (비건),,가성비,순함,여름,수분감,,
48,"비얼라우 콤부차,레몬 비건 올인원 200g+30g 기획",,순함,자극,올인원,수분감,,
49,비욘드 엔젤아쿠아 스킨케어 2종세트(비건),,여름,수분감,순함,가벼움,진정,올인원
50,빌리프 프라블럼 솔루션 비건 스팟 젤 15ml,,트러블,진정,민감성,블랙헤드,각질,
51,더랩바이블랑두 엑스퍼트루 모공탄력 세럼 30ml 기획 (+샤셰 4매 증정),,모공,순함,지성,,,
52,[이동욱PICK]더마펌 수분보습 진정 크림 50ml+50ml 기획,,여름,수분감,미백,보습,,
53,[이동욱PICK] 더마펌 수딩 리페어 토너 R4 200ml+200ml 기획,,수분감,무난,여름,,,
54,[이동욱PICK]더마펌 흔적끝 토닝 세럼 30ml+30ml 기획 (+마스크팩 1매증정),,수분감,자극,보습,미백,,
55,플리프 시카-알로에 카밍 올인원 로션 (200ml+50ml),,순함,남성,자극,올인원,,
56,플리프 시카-알로에 밸런싱 올인원 로션 (본품200ml+50ml 추가 증정),,순함,남성,수분감,민감성,올인원,복합성
57,비건이펙트 클린 앤 글로우 청보리 퍼스트 에센스 200ml,,트러블,미백,지성,민감성,수분감,
58,비욘드 엔젤아쿠아 시카크림 150ml 1+1기획(비건),,순함,수분감,여름,민감성,건성,
59,[민가든PICK] 오어스 비건 민들레 히알루론 각질 토너패드 60매,,순함,자극,진정,수분감,트러블,
60,[앨리스 소희PICK][비건진정대왕패드] 제이준 잇 비건 편백 시카 카밍 패드 50매 (+20매 증정기획),,진정,수분감,자극,순함,간편,
61,[앨리스 소희 PICK][비건수분대왕패드] 제이준 잇 비건 탠지 워터리 패드 50매,,수분감,수분감,순함,진정,자극,밀착력
62,메이크프렘 컴포트미 모스카밍 비건 마스크 1매,,순함,진정,자극,수분감,밀착력,트러블
63,빌리프 프라블럼 솔루션 비건 토너 패드 150ml/70매,,자극,트러블,각질,민감성,,
64,브링그린 티트리 시카 포어 클레이팩 120g,,자극,모공,진정,순함,,
65,[정해인 PICK] 더마티르 순 로즈마리 에센스 패드 70매,,진정,자극,밀착력,부드러움,수분감,
66,코스알엑스 퓨어핏 시카 카밍 트루 시트 마스크 10매입,,진정,순함,수분감,보습,미백,밀착력
67,[피지쓱싹] 스킨푸드 미나리 클리어 패드 60매,,각질,진정,지성,트러블,순함,수분감
68,더랩바이블랑두 그린 플라보노이드 진정 패드 리필 기획 (90+90매 리필),,진정,수분감,자극,겨울,,
69,라운드랩 자작나무 수분 패드 (본품80매+10매 추가 증정),,수분감,순함,트러블,진정,,
70,라운드랩 1025 독도 패드 기획(70매+10매 증정),,순함,수분감,각질,진정,,
71,아임프롬 [피그 스크럽/허니] 마스크 120g 2종 택1,,각질,자극,보습,수분감,,
72,키노닉스 양배추 각질 진정 패드 증정 기획 (70매+10매),,각질,진정,여름,자극,,
73,[보령머드팩]비알머드 리커버리 머드 마스크 110ml,,자극,부드러움,각질,미백,,
74,코스알엑스 포어리스 모공패드 70매,,모공,각질,블랙헤드,,,
75,파티온 리얼핏 콜라겐 퍼밍 마스크 1매,,수분감,가성비,트러블,보습,밀착력,
76,[민들레패드] 시초 단델리온 래디언스 세럼 패드 90매,,수분감,순함,부드러움,,,
77,[단독 90매 대용량] 코스알엑스 원스텝 패드 90매 3종 중 택1,,각질,무난,수분감,부드러움,,
78,[온라인 단독기획] 브링그린 티트리시카포어코팩 10매,,피지,블랙헤드,가성비,자극,,
79,[NEW]바이오힐보 판테셀 리페어시카 퀵수딩마스크 30매,,수분감,간편,겨울,밀착력,,
80,[디렉터파이 PICK] 에스네이처 수퍼 아쿠아겔 오아시스 앰플 마스크 1매,,수분감,순함,보습,진정,밀착력,
81,믹순 병풀 마스크팩 1매입,,밀착력,진정,수분감,보습,,
82,믹순 비피다 마스크팩 1매입,,순함,수분감,밀착력,진정,미백,
83,파티온 리얼핏 어성초 카밍 마스크 1매,,트러블,수분감,진정,무난,,
84,[NEW]앱솔룹 원샷 포어 클리어 패드 60매,,각질,모공,피지,부드러움,여름,미백
85,아워 비건 어성초 시카 마스크 1매,,진정,순함,수분감,밀착력,가성비,
86,비건이펙트 클린 앤 글로우 청보리 퍼스트 LHA 토너 패드 60매,,각질,수분감,부드러움,순함,,
87,메이크프렘 컴포트미 버치아쿠아 비건 마스크 1매,,순함,자극,진정,수분감,가벼움,밀착력
88,메이크프렘 컴포트미 오트모이스트 비건 마스크 1매,,순함,수분감,보습,부드러움,건성,밀착력
89,[앨리스 소희 PICK][비건수분진정] 제이준 잇 비건 탠지 페이셜 마스크 1매,,수분감,자극,순함,진정,밀착력,
90,[단독선런칭] 오하이오후 리쥬스 애플민트 100g,,여름,진정,트러블,보습,,
91,마녀공장 비피다 바이옴 앰플 마스크 피부장벽 10매,,수분감,순함,무난,여름,,
92,[매끈결패드] 시초 딜라이트 토너패드 80매,,수분감,부드러움,자극,건성,,
93,더랩바이블랑두 올리고 히알루론산 쏙수분 마스크팩 10매입,,수분감,자극,보습,순함,건성,
94,비욘드 엔젤아쿠아 소프트 페이셜 필링젤 100ml 1+1 디즈니 에디션,,각질,가성비,부드러움,,,
95,플리프 시카-알로에 카밍 올인원 로션 200ml (트러블 피부용),,건성,보습,트러블,부드러움,환절기,
96,[민가든PICK/단독기획] 오어스 비건 민들레 히알루론 각질 토너패드 60매 (+60매 리필증정 기획),,순함,자극,수분감,트러블,,
